chrom,start,end,ancestry,data_set
0,0,530794,resident,0
0,530794,823742,foreign,0
0,823742,898290,resident,0
0,898290,929824,foreign,0
0,929824,1189092,resident,0
0,1189092,1214346,foreign,0
0,1214346,1215589,resident,0
0,1215589,1248199,foreign,0
0,1248199,1275430,resident,0
0,1275430,1324025,foreign,0
0,1324025,1361733,resident,0
0,1361733,1428298,foreign,0
0,1428298,1453941,resident,0
0,1453941,1467215,foreign,0
0,1467215,1620278,resident,0
0,1620278,1657732,foreign,0
0,1657732,1708473,resident,0
0,1708473,1762159,foreign,0
0,1762159,1772980,resident,0
0,1772980,1803406,foreign,0
0,1803406,1886848,resident,0
0,1886848,2017446,foreign,0
0,2017446,2339421,resident,0
0,2339421,2508319,foreign,0
0,2508319,2579093,resident,0
0,2579093,2604830,foreign,0
0,2604830,3016775,resident,0
0,3016775,3146033,foreign,0
0,3146033,3224626,resident,0
0,3224626,3266837,foreign,0
0,3266837,3518301,resident,0
0,3518301,3675613,foreign,0
0,3675613,3713047,resident,0
0,3713047,3755538,foreign,0
0,3755538,3769423,resident,0
0,3769423,3818731,foreign,0
0,3818731,3827443,resident,0
0,3827443,3981764,foreign,0
0,3981764,4214805,resident,0
0,4214805,4274625,foreign,0
0,4274625,4568597,resident,0
0,4568597,4675726,foreign,0
0,4675726,4936083,resident,0
0,4936083,4941581,foreign,0
0,4941581,5129579,resident,0
0,5129579,5181140,foreign,0
0,5181140,5200232,resident,0
0,5200232,5264092,foreign,0
0,5264092,5291232,resident,0
0,5291232,5354959,foreign,0
0,5354959,5387047,resident,0
0,5387047,5406366,foreign,0
0,5406366,5494000,resident,0
0,5494000,5588540,foreign,0
0,5588540,5971540,resident,0
0,5971540,5973432,foreign,0
0,5973432,6035014,resident,0
0,6035014,6042016,foreign,0
0,6042016,6183486,resident,0
0,6183486,6190781,foreign,0
0,6190781,6333069,resident,0
0,6333069,6337277,foreign,0
0,6337277,6872292,resident,0
0,6872292,6907725,foreign,0
0,6907725,7188906,resident,0
0,7188906,7324921,foreign,0
0,7324921,7793856,resident,0
0,7793856,7840262,foreign,0
0,7840262,7975455,resident,0
0,7975455,8024205,foreign,0
0,8024205,8162777,resident,0
0,8162777,8218680,foreign,0
0,8218680,8476436,resident,0
0,8476436,8604859,foreign,0
0,8604859,8933761,resident,0
0,8933761,9027882,foreign,0
0,9027882,9073254,resident,0
0,9073254,9094807,foreign,0
0,9094807,9601090,resident,0
0,9601090,9621083,foreign,0
0,9621083,9648981,resident,0
0,9648981,9696545,foreign,0
0,9696545,9760018,resident,0
0,9760018,9784920,foreign,0
0,9784920,9786799,resident,0
0,9786799,9792158,foreign,0
0,9792158,9824242,resident,0
0,9824242,9837746,foreign,0
0,9837746,10000000,resident,0
1,0,5688,resident,0
1,5688,29936,foreign,0
1,29936,41827,resident,0
1,41827,93216,foreign,0
1,93216,131579,resident,0
1,131579,143773,foreign,0
1,143773,288829,resident,0
1,288829,314689,foreign,0
1,314689,530794,resident,0
1,530794,546832,foreign,0
1,546832,581972,resident,0
1,581972,678527,foreign,0
1,678527,729506,resident,0
1,729506,737161,foreign,0
1,737161,754503,resident,0
1,754503,806200,foreign,0
1,806200,833511,resident,0
1,833511,894499,foreign,0
1,894499,1152008,resident,0
1,1152008,1238907,foreign,0
1,1238907,1453941,resident,0
1,1453941,1468624,foreign,0
1,1468624,1494034,resident,0
1,1494034,1497980,foreign,0
1,1497980,1606610,resident,0
1,1606610,1617509,foreign,0
1,1617509,2054941,resident,0
1,2054941,2101679,foreign,0
1,2101679,2176750,resident,0
1,2176750,2203206,foreign,0
1,2203206,2292174,resident,0
1,2292174,2354858,foreign,0
1,2354858,2844875,resident,0
1,2844875,2870313,foreign,0
1,2870313,3078338,resident,0
1,3078338,3097183,foreign,0
1,3097183,3183985,resident,0
1,3183985,3264186,foreign,0
1,3264186,3410955,resident,0
1,3410955,3421033,foreign,0
1,3421033,3500387,resident,0
1,3500387,3522798,foreign,0
1,3522798,3562569,resident,0
1,3562569,3573591,foreign,0
1,3573591,3598902,resident,0
1,3598902,3646548,foreign,0
1,3646548,3772247,resident,0
1,3772247,3930017,foreign,0
1,3930017,4013210,resident,0
1,4013210,4057830,foreign,0
1,4057830,4130841,resident,0
1,4130841,4150664,foreign,0
1,4150664,4500564,resident,0
1,4500564,4563629,foreign,0
1,4563629,5178053,resident,0
1,5178053,5214098,foreign,0
1,5214098,5222689,resident,0
1,5222689,5264092,foreign,0
1,5264092,5423971,resident,0
1,5423971,5463731,foreign,0
1,5463731,6442494,resident,0
1,6442494,6497722,foreign,0
1,6497722,6606681,resident,0
1,6606681,6621511,foreign,0
1,6621511,6623465,resident,0
1,6623465,6631236,foreign,0
1,6631236,6799405,resident,0
1,6799405,6921585,foreign,0
1,6921585,7032037,resident,0
1,7032037,7070312,foreign,0
1,7070312,7135719,resident,0
1,7135719,7155709,foreign,0
1,7155709,7258755,resident,0
1,7258755,7299935,foreign,0
1,7299935,7730156,resident,0
1,7730156,7772725,foreign,0
1,7772725,7850951,resident,0
1,7850951,7901503,foreign,0
1,7901503,7975455,resident,0
1,7975455,8041010,foreign,0
1,8041010,8162777,resident,0
1,8162777,8209864,foreign,0
1,8209864,8260442,resident,0
1,8260442,8260848,foreign,0
1,8260848,8530389,resident,0
1,8530389,8536711,foreign,0
1,8536711,8563677,resident,0
1,8563677,8600153,foreign,0
1,8600153,8645913,resident,0
1,8645913,8795250,foreign,0
1,8795250,8939494,resident,0
1,8939494,8951983,foreign,0
1,8951983,9032264,resident,0
1,9032264,9056130,foreign,0
1,9056130,9405312,resident,0
1,9405312,9445763,foreign,0
1,9445763,9580573,resident,0
1,9580573,9595977,foreign,0
1,9595977,9760018,resident,0
1,9760018,9784920,foreign,0
1,9784920,9786799,resident,0
1,9786799,9792158,foreign,0
1,9792158,9824242,resident,0
1,9824242,10000000,foreign,0
2,0,99157,foreign,0
2,99157,420006,resident,0
2,420006,496087,foreign,0
2,496087,530794,resident,0
2,530794,530912,foreign,0
2,530912,880720,resident,0
2,880720,894499,foreign,0
2,894499,1233557,resident,0
2,1233557,1319823,foreign,0
2,1319823,1437316,resident,0
2,1437316,1454102,foreign,0
2,1454102,1886848,resident,0
2,1886848,1968284,foreign,0
2,1968284,2054941,resident,0
2,2054941,2065736,foreign,0
2,2065736,2113570,resident,0
2,2113570,2120056,foreign,0
2,2120056,2125919,resident,0
2,2125919,2132232,foreign,0
2,2132232,2422142,resident,0
2,2422142,2442238,foreign,0
2,2442238,2662540,resident,0
2,2662540,2758847,foreign,0
2,2758847,3027823,resident,0
2,3027823,3147846,foreign,0
2,3147846,3217999,resident,0
2,3217999,3224570,foreign,0
2,3224570,3263410,resident,0
2,3263410,3300272,foreign,0
2,3300272,3412816,resident,0
2,3412816,3522798,foreign,0
2,3522798,3598902,resident,0
2,3598902,3646548,foreign,0
2,3646548,3768489,resident,0
2,3768489,3793610,foreign,0
2,3793610,3840845,resident,0
2,3840845,3981301,foreign,0
2,3981301,4082721,resident,0
2,4082721,4226428,foreign,0
2,4226428,4667479,resident,0
2,4667479,4715079,foreign,0
2,4715079,4960360,resident,0
2,4960360,5039836,foreign,0
2,5039836,5246055,resident,0
2,5246055,5251124,foreign,0
2,5251124,5494000,resident,0
2,5494000,5669945,foreign,0
2,5669945,6629668,resident,0
2,6629668,6694864,foreign,0
2,6694864,6722771,resident,0
2,6722771,6757251,foreign,0
2,6757251,6819364,resident,0
2,6819364,6861731,foreign,0
2,6861731,7789553,resident,0
2,7789553,7849278,foreign,0
2,7849278,7938707,resident,0
2,7938707,7944343,foreign,0
2,7944343,7971433,resident,0
2,7971433,7991168,foreign,0
2,7991168,8004136,resident,0
2,8004136,8104759,foreign,0
2,8104759,8195317,resident,0
2,8195317,8230710,foreign,0
2,8230710,8256365,resident,0
2,8256365,8336088,foreign,0
2,8336088,8461778,resident,0
2,8461778,8463642,foreign,0
2,8463642,8714251,resident,0
2,8714251,8810043,foreign,0
2,8810043,8872345,resident,0
2,8872345,8921539,foreign,0
2,8921539,9680386,resident,0
